                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.8544,                 5.0313,                 4.1919,                      0,                      0,                      0,                      0,                 2.1212,                 4.7734,                 4.0337,                0.07075,                0.00325,                0.00325
                      1,                 2.7942,                 4.3676,                 4.0298,                0.00384,                0.84277,                0.01063,                0.00407,                 2.1134,                  4.496,                 3.8926,               0.040685,              0.0065182,              0.0065182
                      2,                 2.7193,                 3.9889,                 3.8285,                0.00312,                0.92453,                0.04587,                0.01567,                 2.0271,                 4.2619,                 3.5784,               0.010554,              0.0097203,              0.0097203
                      3,                 2.7501,                 3.7479,                 3.6321,                0.03372,                0.11321,                0.02206,                0.00935,                 2.2264,                  4.823,                 3.8395,               0.009703,               0.009703,               0.009703
                      4,                 2.7008,                 3.4108,                   3.45,                0.00694,                0.01887,                0.01635,                0.00482,                 2.3763,                 4.8532,                  4.143,               0.009703,               0.009703,               0.009703
                      5,                 2.5678,                 2.9177,                 3.1902,                0.16034,                0.34591,                0.12718,                0.04935,                 2.0208,                  3.931,                 3.1408,               0.009604,               0.009604,               0.009604
                      6,                 2.3653,                 2.5956,                 3.0003,                0.57621,                0.74843,                0.63618,                0.28245,                 1.7678,                 3.5468,                 2.7696,               0.009505,               0.009505,               0.009505
                      7,                 2.1541,                 2.2827,                 2.7667,                 0.5771,                0.72953,                0.68908,                 0.3528,                 1.5977,                 3.2001,                 2.4396,               0.009406,               0.009406,               0.009406
                      8,                 1.9899,                 2.0338,                 2.5664,                0.89275,                0.73294,                0.86766,                0.51787,                 1.5008,                 3.3407,                 2.3614,               0.009307,               0.009307,               0.009307
                      9,                 1.8422,                 1.8379,                 2.4278,                0.77886,                0.71069,                0.81065,                0.43322,                 1.6632,                 3.7509,                 2.4293,               0.009208,               0.009208,               0.009208
                     10,                 1.7038,                 1.7075,                 2.2994,                0.94567,                0.87579,                0.95655,                0.61217,                 1.3299,                 1.5576,                 2.1437,               0.009109,               0.009109,               0.009109
                     11,                 1.6051,                 1.5475,                 2.1852,                0.91845,                0.83648,                0.93296,                0.58409,                 1.3482,                 1.4951,                 2.1537,                0.00901,                0.00901,                0.00901
